0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
HPLVIAQFMTWQXXGAEFST,,,,10,20,HPLVIAQFMTWQXXGAEFST,HPLVIAQFMTWQXXGAEFST,HPLVIAQFMTWQXXGAEFST,HPLVIAQFMTWQXXGAEFST,,,,,LABEL,,
RHRPVFGDDYVJLZUJAHVL,,,,10,20,RHRPVFGDDYVJLZUJAHVL,RHRPVFGDDYVJLZUJAHVL,RHRPVFGDDYVJLZUJAHVL,RHRPVFGDDYVJLZUJAHVL,,,,,LABEL,,
FETGRDTYHNKDYVRSTTZH,,,,10,20,FETGRDTYHNKDYVRSTTZH,FETGRDTYHNKDYVRSTTZH,FETGRDTYHNKDYVRSTTZH,FETGRDTYHNKDYVRSTTZH,,,,,LABEL,,
STYHVBPGUZXHZNTDLWIH,,,,10,20,STYHVBPGUZXHZNTDLWIH,STYHVBPGUZXHZNTDLWIH,STYHVBPGUZXHZNTDLWIH,STYHVBPGUZXHZNTDLWIH,,,,,LABEL,,
AKEEJSSIIMEIXIAHFMAX,,,,10,20,AKEEJSSIIMEIXIAHFMAX,AKEEJSSIIMEIXIAHFMAX,AKEEJSSIIMEIXIAHFMAX,AKEEJSSIIMEIXIAHFMAX,,,,,LABEL,,
OFIYTVHSXOKEJYSBNXIU,,,,10,20,OFIYTVHSXOKEJYSBNXIU,OFIYTVHSXOKEJYSBNXIU,OFIYTVHSXOKEJYSBNXIU,OFIYTVHSXOKEJYSBNXIU,,,,,LABEL,,
FHSBANSVQIGROWTCSRYF,,,,10,20,FHSBANSVQIGROWTCSRYF,FHSBANSVQIGROWTCSRYF,FHSBANSVQIGROWTCSRYF,FHSBANSVQIGROWTCSRYF,,,,,LABEL,,
IDKVSRPWURFWNIOPTUOK,,,,10,20,IDKVSRPWURFWNIOPTUOK,IDKVSRPWURFWNIOPTUOK,IDKVSRPWURFWNIOPTUOK,IDKVSRPWURFWNIOPTUOK,,,,,LABEL,,
GMTYWKYMYDEZWRJWIGMQ,,,,10,20,GMTYWKYMYDEZWRJWIGMQ,GMTYWKYMYDEZWRJWIGMQ,GMTYWKYMYDEZWRJWIGMQ,GMTYWKYMYDEZWRJWIGMQ,,,,,LABEL,,
IMATQGKFIQNIAOPFXLLO,,,,10,20,IMATQGKFIQNIAOPFXLLO,IMATQGKFIQNIAOPFXLLO,IMATQGKFIQNIAOPFXLLO,IMATQGKFIQNIAOPFXLLO,,,,,LABEL,,
DLOEKHUQKUIZHFPYSAGS,,,,10,20,DLOEKHUQKUIZHFPYSAGS,DLOEKHUQKUIZHFPYSAGS,DLOEKHUQKUIZHFPYSAGS,DLOEKHUQKUIZHFPYSAGS,,,,,LABEL,,
RTNTWJCZMFRSBOTHHEPQ,,,,10,20,RTNTWJCZMFRSBOTHHEPQ,RTNTWJCZMFRSBOTHHEPQ,RTNTWJCZMFRSBOTHHEPQ,RTNTWJCZMFRSBOTHHEPQ,,,,,LABEL,,
EBQTNNWABKHQEXZCGENU,,,,10,20,EBQTNNWABKHQEXZCGENU,EBQTNNWABKHQEXZCGENU,EBQTNNWABKHQEXZCGENU,EBQTNNWABKHQEXZCGENU,,,,,LABEL,,
KTBBWDTZGXAAOSZGZGZL,,,,10,20,KTBBWDTZGXAAOSZGZGZL,KTBBWDTZGXAAOSZGZGZL,KTBBWDTZGXAAOSZGZGZL,KTBBWDTZGXAAOSZGZGZL,,,,,LABEL,,
SJXMWJYDHYKWHNEOGPVC,,,,10,20,SJXMWJYDHYKWHNEOGPVC,SJXMWJYDHYKWHNEOGPVC,SJXMWJYDHYKWHNEOGPVC,SJXMWJYDHYKWHNEOGPVC,,,,,LABEL,,
WRSLMJHUUZSBBWDZQMST,,,,10,20,WRSLMJHUUZSBBWDZQMST,WRSLMJHUUZSBBWDZQMST,WRSLMJHUUZSBBWDZQMST,WRSLMJHUUZSBBWDZQMST,,,,,LABEL,,
YNDUUONZMQQEMNDNNOQK,,,,10,20,YNDUUONZMQQEMNDNNOQK,YNDUUONZMQQEMNDNNOQK,YNDUUONZMQQEMNDNNOQK,YNDUUONZMQQEMNDNNOQK,,,,,LABEL,,
DADNHPJHQFVHWSKXOJIV,,,,10,20,DADNHPJHQFVHWSKXOJIV,DADNHPJHQFVHWSKXOJIV,DADNHPJHQFVHWSKXOJIV,DADNHPJHQFVHWSKXOJIV,,,,,LABEL,,
LAVJEGFKXCJICKLISLFC,,,,10,20,LAVJEGFKXCJICKLISLFC,LAVJEGFKXCJICKLISLFC,LAVJEGFKXCJICKLISLFC,LAVJEGFKXCJICKLISLFC,,,,,LABEL,,
XEJYBGVLBWTLJSXKAOVN,,,,10,20,XEJYBGVLBWTLJSXKAOVN,XEJYBGVLBWTLJSXKAOVN,XEJYBGVLBWTLJSXKAOVN,XEJYBGVLBWTLJSXKAOVN,,,,,LABEL,,
KFYSYPFCGOIXZDACGCPY,,,,10,20,KFYSYPFCGOIXZDACGCPY,KFYSYPFCGOIXZDACGCPY,KFYSYPFCGOIXZDACGCPY,KFYSYPFCGOIXZDACGCPY,,,,,LABEL,,
VDHLKSVCYMVYBHLRVAQV,,,,10,20,VDHLKSVCYMVYBHLRVAQV,VDHLKSVCYMVYBHLRVAQV,VDHLKSVCYMVYBHLRVAQV,VDHLKSVCYMVYBHLRVAQV,,,,,LABEL,,
SESPUCQPUHAXDARBLVWE,,,,10,20,SESPUCQPUHAXDARBLVWE,SESPUCQPUHAXDARBLVWE,SESPUCQPUHAXDARBLVWE,SESPUCQPUHAXDARBLVWE,,,,,LABEL,,
EOFWWBWXQLKBWZEHUAAY,,,,10,20,EOFWWBWXQLKBWZEHUAAY,EOFWWBWXQLKBWZEHUAAY,EOFWWBWXQLKBWZEHUAAY,EOFWWBWXQLKBWZEHUAAY,,,,,LABEL,,
QUMOVVQEPFYLXDMWZPWM,,,,10,20,QUMOVVQEPFYLXDMWZPWM,QUMOVVQEPFYLXDMWZPWM,QUMOVVQEPFYLXDMWZPWM,QUMOVVQEPFYLXDMWZPWM,,,,,LABEL,,
NITUDGIGZBIQMUGXBHPN,,,,10,20,NITUDGIGZBIQMUGXBHPN,NITUDGIGZBIQMUGXBHPN,NITUDGIGZBIQMUGXBHPN,NITUDGIGZBIQMUGXBHPN,,,,,LABEL,,
OELJXNWQATEECGXJBTMP,,,,10,20,OELJXNWQATEECGXJBTMP,OELJXNWQATEECGXJBTMP,OELJXNWQATEECGXJBTMP,OELJXNWQATEECGXJBTMP,,,,,LABEL,,
